date,product_category,avg_price,sales_volume,avg_freight,day_of_week,month,is_weekend,price_lag_7,sales_lag_7,rolling_price_7d,price_momentum,lead_time_hrs,market_median,comp_ratio,is_holiday
31/1/2017,agro_industry_and_commerce,21.99,1,24.35,1,1,0,,,,,0.202222222,69.9,0.314592275,0
5/2/2017,agro_industry_and_commerce,21.99,1,14.52,6,2,1,,,,,0.168888889,63.65,0.345483111,0
21/2/2017,agro_industry_and_commerce,21.99,1,14.11,1,2,0,,,,,24.0825,44.345,0.495884542,0
28/5/2017,agro_industry_and_commerce,59.99,1,21.22,6,5,1,,,,,0.146944444,86.2,0.695939675,0
26/6/2017,agro_industry_and_commerce,1390,1,32.05,0,6,0,,,,,0.1875,68.9,20.17416546,0
14/7/2017,agro_industry_and_commerce,1180,1,19.47,4,7,0,,,,,24.16777778,79.9,14.76846058,0
30/8/2017,agro_industry_and_commerce,22,4,136.6,2,8,0,,,388.28,-366.28,0.27,121.5366667,0.181015331,0
13/9/2017,agro_industry_and_commerce,799.99,1,54.34,2,9,0,21.99,1,499.4228571,300.5671429,19.29777778,91.995,8.696016088,0
23/9/2017,agro_industry_and_commerce,398,2,51.32,5,9,1,21.99,1,553.1385714,-155.1385714,4.799722222,63.395,6.278097642,0
5/10/2017,agro_industry_and_commerce,35,1,8.72,3,10,0,21.99,1,554.9971429,-519.9971429,38.51,89.185,0.392442675,0
23/10/2017,agro_industry_and_commerce,44.3,1,17.63,0,10,0,59.99,1,552.7557143,-508.4557143,27.96083333,57.08166667,0.776081053,0
12/11/2017,agro_industry_and_commerce,919.99,1,71.53,6,11,1,1390,1,485.6114286,434.3785714,0.213055556,92.4225,9.954177825,0
24/11/2017,agro_industry_and_commerce,904.5142857,7,171.59,4,11,0,1180,1,446.2563265,458.2579592,85.84138889,98.08020833,9.222189686,0
28/11/2017,agro_industry_and_commerce,398,1,27.24,1,11,0,22,4,499.9706122,-101.9706122,35.71194444,110.873,3.589692711,0
20/12/2017,agro_industry_and_commerce,410,2,44.72,2,12,0,799.99,1,444.2577551,-34.2577551,1.595555556,85,4.823529412,0
28/12/2017,agro_industry_and_commerce,412,1,30.26,3,12,0,398,2,446.2577551,-34.2577551,0.120555556,73.76666667,5.585178491,0
10/1/2018,agro_industry_and_commerce,934.94,1,62.43,2,1,0,35,1,574.8206122,360.1193878,39.56583333,111.2333333,8.405214264,0
12/1/2018,agro_industry_and_commerce,465,1,24.09,4,1,0,44.3,1,634.9206122,-169.9206122,68.4475,71.86909091,6.470097146,0
16/1/2018,agro_industry_and_commerce,412,1,30.26,1,1,0,919.99,1,562.3506122,-150.3506122,0.655555556,124.3094444,3.31430972,0
25/1/2018,agro_industry_and_commerce,58.5,1,28.11,3,1,0,904.5142857,7,441.4914286,-382.9914286,13.30666667,87,0.672413793,0
2/2/2018,agro_industry_and_commerce,19.5,1,15.1,4,2,0,398,1,387.42,-367.92,0.4075,64.9,0.30046225,0
16/2/2018,agro_industry_and_commerce,549,1,21.56,4,2,0,410,2,407.2771429,141.7228571,0.219722222,117.9,4.65648855,0
25/2/2018,agro_industry_and_commerce,465,1,26.63,6,2,1,412,1,414.8485714,50.15142857,0.215555556,83.2875,5.583070689,0
26/2/2018,agro_industry_and_commerce,25,1,15.79,0,2,0,934.94,1,284.8571429,-259.8571429,0.325555556,114.6423333,0.218069532,0
27/2/2018,agro_industry_and_commerce,412,1,26.26,1,2,0,465,1,277.2857143,134.7142857,23.89666667,99.0345,4.160166407,0
28/2/2018,agro_industry_and_commerce,465,1,34.69,2,2,0,412,1,284.8571429,180.1428571,21.76361111,57.01875,8.155212101,0
5/3/2018,agro_industry_and_commerce,19.5,1,15.23,0,3,0,58.5,1,279.2857143,-259.7857143,9.618888889,100.3815714,0.194258764,0
16/3/2018,agro_industry_and_commerce,57,1,29.99,4,3,0,19.5,1,284.6428571,-227.6428571,17.24055556,88.9,0.641169854,0
19/3/2018,agro_industry_and_commerce,19.5,1,8.29,0,3,0,549,1,209,-189.5,0.131666667,58.03333333,0.336013785,0
20/3/2018,agro_industry_and_commerce,19.5,2,16.58,1,3,0,465,1,145.3571429,-125.8571429,0.411388889,107.525,0.181353174,0
3/4/2018,agro_industry_and_commerce,465,1,34.64,1,4,0,25,1,208.2142857,256.7857143,0.348333333,86.975,5.346363898,0
5/4/2018,agro_industry_and_commerce,412,1,20.4,3,4,0,412,1,208.2142857,203.7857143,46.85138889,117.682619,3.500941799,0
12/4/2018,agro_industry_and_commerce,549,1,20.66,3,4,0,465,1,220.2142857,328.7857143,27.18333333,91.69230769,5.987416107,0
13/4/2018,agro_industry_and_commerce,88,1,11.95,4,4,0,19.5,1,230,-142,7.943333333,120,0.733333333,0
17/4/2018,agro_industry_and_commerce,412,1,33.87,1,4,0,57,1,280.7142857,131.2857143,31.11027778,108.7041667,3.790103109,0
18/4/2018,agro_industry_and_commerce,1476.3,1,42.25,2,4,0,19.5,1,488.8285714,987.4714286,0.685833333,91.84666667,16.07352834,0
24/4/2018,agro_industry_and_commerce,77,1,23.12,1,4,0,19.5,2,497.0428571,-420.0428571,29.28888889,98.395,0.782560089,0
8/5/2018,agro_industry_and_commerce,410,1,18.83,1,5,0,465,1,489.1857143,-79.18571429,0.475,92.28181818,4.442912028,0
10/5/2018,agro_industry_and_commerce,412,1,25.42,3,5,0,412,1,489.1857143,-77.18571429,15.68027778,91.73,4.491442276,0
11/6/2018,agro_industry_and_commerce,260,1,26.17,0,6,0,549,1,447.9,-187.9,0.438888889,72.3375,3.594263003,0
22/6/2018,agro_industry_and_commerce,479,1,38.7,4,6,0,88,1,503.7571429,-24.75714286,0.521944444,90.96125,5.265978645,0
4/7/2018,agro_industry_and_commerce,306.95,2,44.32,2,7,0,412,1,488.75,-181.8,34.80875,79,3.885443038,0
17/7/2018,agro_industry_and_commerce,57.88,1,27.36,1,7,0,1476.3,1,286.1185714,-228.2385714,30.65083333,71.53875,0.809072006,0
18/7/2018,agro_industry_and_commerce,429.98,1,28.38,2,7,0,77,1,336.5442857,93.43571429,0.201388889,80.6975,5.328293937,0
19/7/2018,agro_industry_and_commerce,420,1,21.04,3,7,0,410,1,337.9728571,82.02714286,23.85111111,105.7525,3.971537316,0
20/7/2018,agro_industry_and_commerce,35,1,13.83,4,7,0,412,1,284.1157143,-249.1157143,23.16166667,76.1,0.459921156,0
23/7/2018,agro_industry_and_commerce,120,1,17.03,0,7,0,260,1,264.1157143,-144.1157143,15.16,120,1,0
